root,arm,benchmark,model,n_seeds,seed_min,seed_max,seeds,n_rows,dup_rows,n_files,n_hf,n_lf,max_budget_last,mtime_min,mtime_max,extra,cols
refig_20260908/results,blr_replace__hf_argmin,Branin-Fav,Adapter,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 02:08,2026-09-08 02:10,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Fav,Curriculum,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 02:03,2026-09-08 02:06,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Fav,DNGOGradient,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 02:09,2026-09-08 02:10,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Fav,DNGOJoint,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 02:10,2026-09-08 02:12,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Fav,DomainAdaptationMMD,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 02:10,2026-09-08 02:11,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Fav,KnowledgeDistillation,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 02:05,2026-09-08 02:08,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Fav,Progressive,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 02:02,2026-09-08 02:03,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Fav,PseudoLabeling,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 02:09,2026-09-08 02:10,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Fav,Sequential,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 02:02,2026-09-08 02:04,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
refig_20260908/results,blr_replace__hf_argmin,Branin-Fav,SoftParameterSharing,20,42,61,"42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61",20,0,4,24,259,49.900000000000226,2026-09-08 02:09,2026-09-08 02:11,"{""act"": [""tanh""], ""hf_head"": [""blr_replace""], ""lf_target"": [""hf_argmin""], ""warm"": [""0""]}",act auc benchmark ece_lf_final ece_lf_mean elapsed final_regret hf_head lf_target model n_hf n_lf nll_lf_final nll_lf_mean pick_prec_top5 seed sharp_lf_final sharp_lf_mean warm
