benchmark,model,seed,status,first_diff_step,n_compared,ref_at_Bm1,new_at_Bm1,new_final,src
FreeSolv,Adapter,42,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,43,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,44,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,45,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,46,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,47,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,48,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,49,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,50,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,51,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,52,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,53,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,54,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,55,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,56,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,57,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,58,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,59,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,60,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Adapter,61,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Curriculum,42,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Curriculum,43,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Curriculum,44,match,-1.0,248.0,0.0,0.0,0.0,results
FreeSolv,Curriculum,45,match,-1.0,248.0,0.0,0.0,0.0,results
