benchmark,family,model,n_seeds,B_orig,B_ext,zero_frac_orig,zero_frac_ext,mean_regret_orig,mean_regret_ext,median_cost_to_zero,n_never_zero
FreeSolv,GP,MFGP,20,50,100,0.95,0.95,0.013500000000000002,0.013500000000000002,6.4999999999999964,1
FreeSolv,GP,NARGP,20,50,100,0.15,0.15,4.407500000000001,3.0460000000000003,inf,17
FreeSolv,GP,SparseMFGP,20,50,100,0.9,1.0,0.027000000000000003,0.0,8.499999999999993,0
FreeSolv,TL,Adapter,20,50,100,1.0,1.0,0.0,0.0,6.4999999999999964,0
FreeSolv,TL,Curriculum,20,50,100,1.0,1.0,0.0,0.0,8.499999999999993,0
FreeSolv,TL,DNGOGradient,20,50,100,1.0,1.0,0.0,0.0,8.499999999999993,0
FreeSolv,TL,DNGOJoint,20,50,100,1.0,1.0,0.0,0.0,8.499999999999993,0
FreeSolv,TL,DomainAdaptationMMD,20,50,100,1.0,1.0,0.0,0.0,6.4999999999999964,0
FreeSolv,TL,KnowledgeDistillation,20,50,100,1.0,1.0,0.0,0.0,8.499999999999993,0
FreeSolv,TL,Progressive,20,50,100,1.0,1.0,0.0,0.0,8.499999999999993,0
FreeSolv,TL,PseudoLabeling,20,50,100,1.0,1.0,0.0,0.0,8.499999999999993,0
FreeSolv,TL,Sequential,20,50,100,1.0,1.0,0.0,0.0,8.499999999999993,0
FreeSolv,TL,SoftParameterSharing,20,50,100,1.0,1.0,0.0,0.0,14.499999999999982,0
FreeSolv,TL,TwoStageJoint,20,50,100,1.0,1.0,0.0,0.0,9.499999999999991,0
HOPV15,GP,MFGP,20,30,45,0.45,0.45,2.1249999999999996,2.1249999999999996,inf,11
HOPV15,GP,NARGP,20,30,45,0.0,0.0,3.028999999999999,2.557999999999999,inf,20
HOPV15,GP,SparseMFGP,20,30,45,0.05,0.7,3.575,1.0950000000000002,39.50000000000014,6
HOPV15,TL,Adapter,20,30,45,0.45,0.95,2.0749999999999997,0.13099999999999995,31.500000000000085,1
HOPV15,TL,Curriculum,20,30,45,0.8,0.95,0.7299999999999999,0.17499999999999996,16.499999999999982,1
HOPV15,TL,DKL,20,30,45,0.3,0.4,2.4299999999999993,1.925,inf,12
HOPV15,TL,DNGOGradient,20,30,45,0.55,0.95,1.7749999999999997,0.18,28.500000000000064,1
HOPV15,TL,DNGOJoint,20,30,45,0.6,0.95,1.4259999999999997,0.13099999999999995,23.50000000000003,1
HOPV15,TL,DomainAdaptationMMD,20,30,45,0.5,0.9,1.8349999999999997,0.33499999999999996,30.500000000000078,2
HOPV15,TL,KnowledgeDistillation,20,30,45,0.8,0.95,0.7299999999999999,0.17499999999999996,16.499999999999982,1
HOPV15,TL,Progressive,20,30,45,0.2,0.25,3.2889999999999993,2.848,inf,15
HOPV15,TL,PseudoLabeling,20,30,45,0.8,0.95,0.7299999999999999,0.17499999999999996,16.499999999999982,1
HOPV15,TL,Sequential,20,30,45,0.85,1.0,0.49499999999999994,0.0,16.499999999999982,0
HOPV15,TL,SoftParameterSharing,20,30,45,0.3,0.45,2.8314999999999997,2.1674999999999995,inf,11
HOPV15,TL,TwoStageJoint,20,30,45,0.4,0.75,2.101,0.7044999999999999,34.50000000000011,5
Matbench-Gap,GP,MFGP,20,20,40,0.05,0.15,0.1414999999999999,0.06999999999999991,inf,17
Matbench-Gap,GP,NARGP,20,20,40,0.0,0.05,0.9165000000000001,0.592,inf,19
Matbench-Gap,GP,SparseMFGP,20,20,40,0.05,0.1,0.2459999999999999,0.0495,inf,18
Matbench-Gap,TL,Adapter,20,20,40,0.2,0.2,0.07449999999999998,0.045500000000000006,inf,16
Matbench-Gap,TL,Curriculum,20,20,40,0.05,0.2,0.14599999999999996,0.0835,inf,16
Matbench-Gap,TL,DKL,20,20,40,0.2,0.3,0.2895,0.101,inf,14
Matbench-Gap,TL,DNGOGradient,20,20,40,0.05,0.3,0.21150000000000002,0.1055,inf,14
Matbench-Gap,TL,DNGOJoint,20,20,40,0.25,0.3,0.12350000000000001,0.07200000000000001,inf,14
Matbench-Gap,TL,DomainAdaptationMMD,20,20,40,0.05,0.05,0.161,0.05749999999999998,inf,19
Matbench-Gap,TL,KnowledgeDistillation,20,20,40,0.05,0.2,0.14599999999999996,0.0835,inf,16
Matbench-Gap,TL,Progressive,20,20,40,0.1,0.15,0.138,0.056500000000000015,inf,17
Matbench-Gap,TL,PseudoLabeling,20,20,40,0.05,0.2,0.14599999999999996,0.0835,inf,16
Matbench-Gap,TL,Sequential,20,20,40,0.1,0.2,0.129,0.07900000000000001,inf,16
Matbench-Gap,TL,SoftParameterSharing,20,20,40,0.1,0.25,0.10050000000000003,0.034999999999999996,inf,15
Matbench-Gap,TL,TwoStageJoint,20,20,40,0.05,0.25,0.11049999999999996,0.03250000000000001,inf,15
Polarizability,GP,MFGP,20,30,60,0.95,1.0,0.004459718670076715,0.0,5.170999999999999,0
Polarizability,GP,NARGP,20,30,60,0.25,0.25,0.2859654731457801,0.2091911764705882,inf,15
Polarizability,GP,SparseMFGP,20,30,60,1.0,1.0,0.0,0.0,8.840999999999998,0
