model,mean,n,se
Stop-Gradient Joint,0.7550181547556943,13,0.060843256023457255
End-to-End Joint,0.7349093669398438,13,0.048276360782063404
Feature-extraction transfer,0.7037111991178069,13,0.06138304043307811
Sequential,0.7000682183801323,13,0.06442800714750964
Adapter,0.6937922296384565,13,0.06581253729539119
Domain Adaptation (MMD),0.6732969902099968,13,0.0907566428306619
Soft Parameter Sharing,0.6407730399004113,13,0.11138835880994413
Pretrain-then-Joint,0.6207871442735573,13,0.0864608766761988
DKL,0.6024091842262936,13,0.08181189236013998
Progressive,0.5511755685702044,13,0.10887548591632425
Sparse MFGP,0.4920213735548511,13,0.09790231967737549
MFGP,0.43279834071395895,13,0.12340562743983052
