model,mean,n,se
Stop-Gradient Joint,0.8674940327037448,9,0.04424360083425472
Domain Adaptation (MMD),0.8560011759329385,9,0.04735160407238542
Feature-extraction transfer,0.7996406113280121,9,0.05993438753997421
Sequential,0.7978385230231614,9,0.06398761262123573
Adapter,0.7865762082381255,9,0.06981086941195792
End-to-End Joint,0.7817598820156078,9,0.059247638701357436
Pretrain-then-Joint,0.6796491730618447,9,0.08615481574802945
Soft Parameter Sharing,0.6795615316911581,9,0.13791833699370368
Progressive,0.5967329334527218,9,0.11560198549560267
DKL,0.5199385670099065,9,0.10265480202156659
Sparse MFGP,0.440801291502692,9,0.12594745122057843
MFGP,0.40341869387880114,9,0.13717607561562264
