pool,model,abbr,family,n,mean,se
Branin-Fav,MFGP,MFGP,GP,40,0.9104395604395604,0.008001572026534707
Branin-Fav,Sparse MFGP,SV-MFGP,GP,36,0.5871489621489621,0.03997328214112956
Branin-Fav,DKL,DKL,GP,40,0.9131868131868132,0.006510705154712336
Branin-Fav,Sequential,Seq,TL,40,0.5578983516483517,0.040694925558754313
Branin-Fav,Feature-extraction transfer,FET,TL,40,0.5681318681318681,0.04117299092989116
Branin-Fav,End-to-End Joint,E2E,TL,40,0.6847527472527473,0.03317444235411717
Branin-Fav,Progressive,Prog,TL,40,0.28736263736263734,0.047262022620687315
Branin-Fav,Pretrain-then-Joint,PtJ,TL,40,0.47032967032967027,0.04908162056692371
Branin-Fav,Stop-Gradient Joint,SGJ,TL,40,0.5824175824175825,0.03937008066014957
Branin-Fav,Domain Adaptation (MMD),MMD,TL,40,0.3629120879120879,0.033039128221456854
Branin-Fav,Soft Parameter Sharing,SPS,TL,40,0.459271978021978,0.04108072608967742
Branin-Fav,Adapter,Adpt,TL,40,0.5706043956043956,0.04180733718735337
Branin-Unfav,MFGP,MFGP,GP,40,0.7530219780219781,0.02246221881983971
Branin-Unfav,Sparse MFGP,SV-MFGP,GP,39,0.2239363200901662,0.03481309904841612
Branin-Unfav,DKL,DKL,GP,40,0.6261675824175825,0.024180864182855717
Branin-Unfav,Sequential,Seq,TL,40,0.23550824175824175,0.04840496979648772
Branin-Unfav,Feature-extraction transfer,FET,TL,40,0.2549450549450549,0.048715240848270856
Branin-Unfav,End-to-End Joint,E2E,TL,40,0.35151098901098904,0.051157016151797845
Branin-Unfav,Progressive,Prog,TL,40,0.010989010989010988,0.005127387428267186
Branin-Unfav,Pretrain-then-Joint,PtJ,TL,40,0.025206043956043957,0.02061094277026313
Branin-Unfav,Stop-Gradient Joint,SGJ,TL,40,0.34697802197802197,0.0486143332547071
Branin-Unfav,Domain Adaptation (MMD),MMD,TL,40,0.08894230769230768,0.0251779665314898
Branin-Unfav,Soft Parameter Sharing,SPS,TL,40,0.10487637362637363,0.03239051161530312
Branin-Unfav,Adapter,Adpt,TL,40,0.23585164835164835,0.04440617189211464
Park-Fav,MFGP,MFGP,GP,40,0.6153846153846153,0.018026753726072025
Park-Fav,Sparse MFGP,SV-MFGP,GP,40,0.8343406593406593,0.019022897372497936
Park-Fav,DKL,DKL,GP,40,0.8543956043956044,0.01035617960158222
Park-Fav,Sequential,Seq,TL,40,0.7835164835164835,0.016791524488113718
Park-Fav,Feature-extraction transfer,FET,TL,40,0.7821428571428571,0.0173166350612559
Park-Fav,End-to-End Joint,E2E,TL,40,0.8359890109890109,0.01504159879246995
Park-Fav,Progressive,Prog,TL,40,0.9456043956043956,0.0019653802218391526
Park-Fav,Pretrain-then-Joint,PtJ,TL,40,0.939010989010989,0.0034064116149605055
Park-Fav,Stop-Gradient Joint,SGJ,TL,40,0.7370879120879121,0.021667243059862343
Park-Fav,Domain Adaptation (MMD),MMD,TL,40,0.8074175824175824,0.014611387920476566
Park-Fav,Soft Parameter Sharing,SPS,TL,40,0.9412087912087912,0.003161254274859337
Park-Fav,Adapter,Adpt,TL,40,0.7815934065934066,0.01894869202132964
