model,mean,n,se
Stop-Gradient Joint,0.7553848484356036,13,0.06070364996950462
End-to-End Joint,0.7357613176712257,13,0.04797946280217125
Feature-extraction transfer,0.7045431747094136,13,0.06102317369292963
Sequential,0.7007863865651014,13,0.06410701382756152
Adapter,0.6946745744950302,13,0.06548385068065873
Domain Adaptation (MMD),0.6745933817453273,13,0.09010680396673591
Soft Parameter Sharing,0.6419623740270072,13,0.11106640302318593
Pretrain-then-Joint,0.6211088282899058,13,0.08636118869255063
DKL,0.6022072471721622,13,0.08176551120172248
Progressive,0.5511755685702049,13,0.10887548591632414
Sparse MFGP,0.4922363725214755,13,0.09790538874794179
MFGP,0.4332122076661458,13,0.12354902417106971
