model,mean,n,se
Stop-Gradient Joint,0.8674940327037439,9,0.044243600834255076
Domain Adaptation (MMD),0.8560011759329378,9,0.04735160407238573
Feature-extraction transfer,0.7996406113280118,9,0.05993438753997433
Sequential,0.797838523023161,9,0.06398761262123595
Adapter,0.7865762082381252,9,0.06981086941195801
End-to-End Joint,0.7817598820156066,9,0.05924763870135785
Pretrain-then-Joint,0.679649173061845,9,0.08615481574802925
Soft Parameter Sharing,0.6795615316911584,9,0.13791833699370368
Progressive,0.5967329334527224,9,0.11560198549560241
DKL,0.5199385670099061,9,0.10265480202156647
Sparse MFGP,0.44080129150269115,9,0.12594745122057827
MFGP,0.4038212703683342,9,0.137366145150603
