scope,surrogate,mean_attainment,mean_deficit,se_over_benchmarks
13pools,GP-DKL,0.685796894485033,0.06872840430298283,0.016226613260308744
13pools,TL-E2E,0.6732300709450191,0.08129522784299688,0.03166920953899952
13pools,TL-base,0.6708652847343404,0.08366001405367546,0.03844028382586941
13pools,GP-base,0.658798773496297,0.09572652529171902,0.02688052530204656
13pools,TL-SPS,0.6309591766523427,0.12356612213567321,0.05800096525772317
13pools,TL-MMD,0.6289672392660913,0.1255580595219246,0.06031271455376936
13pools,TL-PtJ,0.6249276532463841,0.12959764554163175,0.06102617484106055
13pools,GP-SV,0.6232567872517822,0.13126851153623373,0.04382308461977926
9chem,TL-base,0.6883499778275028,0.012814159493892462,0.0068794909255512375
9chem,TL-MMD,0.678341873079104,0.022822264242291404,0.0091927397444473
9chem,TL-E2E,0.6678417874578236,0.03332234986357172,0.012346815923265773
9chem,TL-PtJ,0.6486210791092459,0.05254305821214932,0.024978510975247326
9chem,TL-SPS,0.646565575066815,0.054598562254580346,0.03230124203026722
9chem,GP-DKL,0.6309724983831431,0.07019163893825238,0.02101535215278401
9chem,GP-SV,0.6185082932104655,0.08265584411092983,0.029595159426033562
9chem,GP-base,0.6119156887010004,0.089248448620395,0.023880062803532432
