benchmark,n,r2,top10_overlap,top1pct_overlap,screening_regret,screening_regret_over_range,top1_hit,hf_best_idx,lf_best_idx,lf_rank_of_hf_best,n_lf_ties_at_min,screening_regret_ties_min,screening_regret_ties_max,regime
Branin-Fav,2500,0.9687779647852134,0.6,0.6,3.3551091224877183,0.010902960264981337,0,447,147,139,1,3.3551091224877183,3.3551091224877183,B
Branin-Unfav,2500,0.5802235172008346,0.1,0.36,0.9968793119946202,0.003239517741706198,0,447,1856,1380,1,0.9968793119946202,0.9968793119946202,B
Park-Fav,256,0.9649440131078181,1.0,1.0,0.0,0.0,1,0,0,1,1,0.0,0.0,A
Park-Unfav,256,0.7171269680971293,0.9,0.5,0.0,0.0,1,0,0,1,1,0.0,0.0,A
COFs,608,0.9581680383499311,0.8,0.8333333333333334,4.516970590908455,0.2440069466971962,0,375,523,2,1,4.516970590908455,4.516970590908455,B
FreeSolv,640,0.8675703203322626,0.6,0.6666666666666666,0.27,0.009342560553633219,0,515,261,4,1,0.27,0.27,A
Polarizability,1134,0.987818334473217,1.0,1.0,0.08919437340153435,0.08919437340153435,0,1133,1132,2,1,0.08919437340153435,0.08919437340153435,A
HOPV15,240,0.015254803778475658,0.0,0.0,3.8999999999999995,0.3826530612244897,0,174,97,13,1,3.8999999999999995,3.8999999999999995,B
Matbench-Gap,3347,0.4562589366904251,0.0,0.030303030303030304,0.91,0.08834951456310679,0,12,656,973,1,0.91,0.91,B
ExptGap-PBE,3508,0.409971756021133,0.0,0.0,1.15,0.11165048543689318,0,18,323,1033,1,1.15,1.15,B
Elastic-CHGNet,10819,0.29071858087914376,0.4,0.1388888888888889,383.9999999999999,0.735632183908046,0,10810,4154,8,1,383.9999999999999,383.9999999999999,B
Elastic-SevenNet,10460,0.40540745537269063,0.3,0.38461538461538464,369.0000000000001,0.9659685863874345,0,10370,9311,4,1,369.0000000000001,369.0000000000001,B
Elastic-MatterSim,10946,0.7954069784964123,0.8,0.7064220183486238,3.0000000000001137,0.0057471264367818286,0,10894,10849,2,1,3.0000000000001137,3.0000000000001137,B
