cell,r2,top10,TL|GP-base,TL|GP variants,GP variants|GP-base,ri,ti
cell_00,0.3687,0.0,0.25927109974424545,0.06243606138107401,0.19683503836317146,3,0
cell_01,0.3956,0.1,0.10306905370843977,0.04459718670076715,0.05847186700767262,3,1
cell_02,0.4093,0.3,0.11540920716112521,0.05351662404092058,0.06189258312020463,3,3
cell_03,0.423,0.4,0.1341751918158567,0.03567774936061372,0.09849744245524297,3,4
cell_04,0.4453,0.6,0.0,0.0,0.0,3,6
cell_05,0.4729,0.7,0.0,0.0,0.0,4,7
cell_06,0.4595,0.0,0.25824808184143216,0.06243606138107401,0.19581202046035817,4,0
cell_07,0.486,0.1,0.12816496163682856,0.05351662404092058,0.07464833759590797,4,1
cell_08,0.5005,0.3,0.1341751918158567,0.05351662404092058,0.0806585677749361,4,3
cell_09,0.5154,0.4,0.1341751918158567,0.04459718670076715,0.08957800511508954,4,4
cell_10,0.5489,0.5,0.0,0.0,0.0,4,5
cell_100,0.2346,0.8,0.07135549872122744,0.01783887468030686,0.053516624040920585,1,8
cell_101,0.242,0.9,0.01783887468030686,0.0,0.01783887468030686,1,9
cell_102,0.2463,1.0,0.01783887468030686,0.0,0.01783887468030686,1,10
cell_103,0.2979,0.3,0.06918158567774924,0.05351662404092058,0.015664961636828657,2,3
cell_104,0.3023,0.4,0.06918158567774924,0.06243606138107401,0.006745524296675229,2,4
cell_105,0.313,0.6,0.06243606138107401,0.05351662404092058,0.008919437340153429,2,6
cell_106,0.331,0.9,0.03567774936061372,0.0,0.03567774936061372,2,9
cell_107,0.3606,0.2,0.12314578005115084,0.01783887468030686,0.10530690537084399,3,2
cell_108,0.3795,0.5,0.07135549872122744,0.02675831202046029,0.04459718670076715,3,5
cell_109,0.3895,0.7,0.07135549872122744,0.01783887468030686,0.053516624040920585,3,7
cell_11,0.4579,0.6,0.0,0.0,0.0,4,6
cell_110,0.4065,0.9,0.0,0.0,0.0,3,9
cell_111,0.49,0.2,0.12314578005115084,0.03567774936061372,0.08746803069053713,4,2
cell_112,0.5256,0.2,0.10316496163682853,0.02675831202046029,0.07640664961636824,4,2
cell_113,0.5427,0.5,0.07135549872122744,0.03567774936061372,0.03567774936061372,4,5
cell_114,0.5681,0.9,0.0,0.0,0.0,5,9
cell_115,0.6742,0.2,0.10316496163682853,0.02675831202046029,0.07640664961636824,6,2
cell_116,0.7013,0.8,0.07135549872122744,0.00891943734015343,0.062436061381074014,6,8
cell_117,0.7113,0.9,0.0,0.0,0.0,6,9
