benchmark,model,ece_lf_mean,ece_lf_final,attainment,n_att,se
Branin-Fav,Adapter,0.30733411172696534,0.23996481240007825,0.5706043956043956,40,0.0418073371873533
Branin-Fav,DKL,0.2781324738650595,0.23324189092669118,0.9131868131868132,40,0.0065107051547123
Branin-Fav,Domain Adaptation (MMD),0.291216326975834,0.22837582548380872,0.3629120879120879,40,0.0330391282214568
Branin-Fav,End-to-End Joint,0.3271371994494308,0.26055840862626367,0.6847527472527473,40,0.0331744423541171
Branin-Fav,Feature-extraction transfer,0.3078895204080245,0.24172277309413195,0.5681318681318681,40,0.0411729909298911
Branin-Fav,MFGP,0.1690279135040527,0.14915334838629157,0.9104395604395604,40,0.0080015720265347
Branin-Fav,Pretrain-then-Joint,0.21714385582945525,0.11870222206018977,0.4703296703296702,40,0.0490816205669237
Branin-Fav,Progressive,0.1933740829197653,0.09675851280227822,0.2873626373626373,40,0.0472620226206873
Branin-Fav,Sequential,0.3072537470840534,0.2405636745552692,0.5578983516483517,40,0.0406949255587543
Branin-Fav,Soft Parameter Sharing,0.2754332497143438,0.19072806108325713,0.459271978021978,40,0.0410807260896774
Branin-Fav,Sparse MFGP,0.39718967568121377,0.41331171112513854,0.5871489621489621,36,0.0399732821411295
Branin-Fav,Stop-Gradient Joint,0.3390945789485345,0.27088180245604554,0.5824175824175825,40,0.0393700806601495
Branin-Unfav,Adapter,0.24174660949584958,0.15033437842295766,0.2358516483516483,40,0.0444061718921146
Branin-Unfav,DKL,0.4217484992223726,0.4071298797892319,0.6261675824175825,40,0.0241808641828557
Branin-Unfav,Domain Adaptation (MMD),0.22997232567365372,0.1495499622829725,0.0889423076923076,40,0.0251779665314898
Branin-Unfav,End-to-End Joint,0.2561252290035908,0.17043206251974768,0.351510989010989,40,0.0511570161517978
Branin-Unfav,Feature-extraction transfer,0.2402631032703741,0.15355238342808136,0.2549450549450549,40,0.0487152408482708
Branin-Unfav,MFGP,0.10143085273039887,0.07060954113827692,0.7530219780219781,40,0.0224622188198397
Branin-Unfav,Pretrain-then-Joint,0.15266970102837002,0.09856740523166771,0.0252060439560439,40,0.0206109427702631
Branin-Unfav,Progressive,0.1451802234075656,0.11659340284105242,0.0109890109890109,40,0.0051273874282671
Branin-Unfav,Sequential,0.23988358983771524,0.15306624338329283,0.2355082417582417,40,0.0484049697964877
Branin-Unfav,Soft Parameter Sharing,0.2378503623407465,0.14023529508697172,0.1048763736263736,40,0.0323905116153031
Branin-Unfav,Sparse MFGP,0.3966207418586798,0.36609405243284876,0.2239363200901662,39,0.0348130990484161
