benchmark,model,seed,fraction,n_hf,n_lf,n_train,pool,dim,numpy_fit_flops,numpy_predict_flops,fit_flops,predict_flops,ok,elapsed,err
Branin-Fav,MFGP,42,0.1,2,26,28,2500,2,0,0,8725920,354072544,1,30.37,
Branin-Fav,MFGP,42,0.3,7,78,85,2500,2,0,0,238425000,1099165600,1,70.46,
Branin-Fav,MFGP,42,0.5,12,130,142,2500,2,0,0,464699544,1876852624,1,4.77,
Branin-Fav,MFGP,42,0.7,17,181,198,2500,2,0,0,1818438336,2672637264,1,4.28,
Branin-Fav,MFGP,42,1.0,24,259,283,2500,2,0,0,3996120744,3940641424,1,4.5,
Branin-Fav,MFGP,43,0.1,2,26,28,2500,2,0,0,10055584,354072544,1,4.04,
Branin-Fav,MFGP,43,0.3,7,78,85,2500,2,0,0,362406000,1099165600,1,6.63,
Branin-Fav,MFGP,43,0.5,12,130,142,2500,2,0,0,1131442368,1876852624,1,5.22,
Branin-Fav,MFGP,43,0.7,17,181,198,2500,2,0,0,3566936736,2672637264,1,7.26,
Branin-Fav,MFGP,43,1.0,24,259,283,2500,2,0,0,3058759088,3940641424,1,3.6,
Branin-Fav,NARGP,42,0.1,2,26,28,2500,2,0,0,5698392,353540040,1,2.42,
Branin-Fav,NARGP,42,0.3,7,78,85,2500,2,0,0,87751322,1093590490,1,1.97,
Branin-Fav,NARGP,42,0.5,12,130,142,2500,2,0,0,474754528,1860931440,1,2.23,
Branin-Fav,NARGP,42,0.7,17,181,198,2500,2,0,0,1159738042,2641242890,1,2.86,
Branin-Fav,NARGP,42,1.0,24,259,283,2500,2,0,0,1685559240,3877205760,1,2.39,
Branin-Fav,NARGP,43,0.1,2,26,28,2500,2,0,0,3810456,353540040,1,1.6,
Branin-Fav,NARGP,43,0.3,7,78,85,2500,2,0,0,89990692,1093590490,1,2.32,
Branin-Fav,NARGP,43,0.5,12,130,142,2500,2,0,0,276609320,1860931440,1,1.75,
Branin-Fav,NARGP,43,0.7,17,181,198,2500,2,0,0,2087546162,2641242890,1,3.13,
Branin-Fav,NARGP,43,1.0,24,259,283,2500,2,0,0,6174774312,3877205760,1,5.1,
Branin-Fav,Sparse MFGP,42,0.1,2,26,28,2500,2,0,0,310140000,84689640,1,13.63,
Branin-Fav,Sparse MFGP,42,0.3,7,78,85,2500,2,0,0,7797147000,152882388,1,13.34,
Branin-Fav,Sparse MFGP,42,0.5,12,130,142,2500,2,0,0,17484444000,181640808,1,14.73,
Branin-Fav,Sparse MFGP,42,0.7,17,181,198,2500,2,0,0,24085052000,181640808,1,15.64,
Branin-Fav,Sparse MFGP,42,1.0,24,259,283,2500,2,0,0,34271622000,181640808,1,15.02,
Branin-Fav,Sparse MFGP,43,0.1,2,26,28,2500,2,0,0,310140000,84689640,1,9.73,
Branin-Fav,Sparse MFGP,43,0.3,7,78,85,2500,2,0,0,7797147000,152882388,1,12.96,
Branin-Fav,Sparse MFGP,43,0.5,12,130,142,2500,2,0,0,17484444000,181640808,1,11.5,
Branin-Fav,Sparse MFGP,43,0.7,17,181,198,2500,2,0,0,24085052000,181640808,1,11.52,
Branin-Fav,Sparse MFGP,43,1.0,24,259,283,2500,2,0,0,34271622000,181640808,1,15.02,
Branin-Fav,DKL Multi-Fidelity,42,0.1,2,26,28,2500,2,0,0,504124000,632650960,1,10.71,
Branin-Fav,DKL Multi-Fidelity,42,0.3,7,78,85,2500,2,0,0,2354002000,1358548696,1,10.48,
Branin-Fav,DKL Multi-Fidelity,42,0.5,12,130,142,2500,2,0,0,6231256000,2084966272,1,12.79,
Branin-Fav,DKL Multi-Fidelity,42,0.7,17,181,198,2500,2,0,0,13090584000,2799145920,1,13.52,
