cell_id,n_b,dem,r2,top10,top50,sigma,opt
cell_00,8,1.0,0.3687,0.0,0.0,,
cell_01,8,0.909,0.3956,0.1,0.1,,
cell_02,8,0.818,0.4093,0.3,0.18,,
cell_03,8,0.727,0.423,0.4,0.28,,
cell_04,8,0.636,0.4453,0.6,0.34,,
cell_05,8,0.364,0.4729,0.7,0.54,,
cell_06,12,1.0,0.4595,0.0,0.0,,
cell_07,12,0.909,0.486,0.1,0.1,,
cell_08,12,0.818,0.5005,0.3,0.18,,
cell_09,12,0.727,0.5154,0.4,0.28,,
cell_10,12,0.545,0.5489,0.5,0.44,,
cell_11,8,0.455,0.4579,0.6,0.46,,
cell_12,8,0.273,0.4785,0.7,0.6,,
cell_13,8,0.091,0.514,0.8,0.74,,
cell_14,27,1.0,0.6334,0.0,0.0,,
cell_15,27,0.909,0.6544,0.1,0.1,,
cell_16,18,0.818,0.6132,0.3,0.18,,
cell_17,18,0.727,0.6249,0.4,0.28,,
cell_18,18,0.364,0.6721,0.6,0.6,,
cell_19,12,0.182,0.5946,0.7,0.74,,
cell_20,12,0.0,0.6225,0.8,0.84,,
cell_21,61,1.0,0.7019,0.0,0.0,,
cell_22,61,0.909,0.7235,0.1,0.1,,
cell_23,41,0.818,0.7038,0.3,0.2,,
cell_24,41,0.727,0.7161,0.4,0.3,,
cell_25,27,0.455,0.7134,0.5,0.52,,
cell_26,18,0.273,0.6777,0.6,0.66,,
cell_27,18,0.0,0.72,0.7,0.8,,
cell_28,27,0.0,0.7804,0.7,0.84,,
cell_29,466,1.0,0.8015,0.0,0.0,,
cell_30,310,0.909,0.8036,0.1,0.1,,
cell_31,310,0.818,0.8176,0.3,0.2,,
cell_32,138,0.727,0.7803,0.4,0.3,,
cell_33,92,0.545,0.7974,0.6,0.48,,
cell_34,61,0.273,0.8027,0.6,0.7,,
cell_35,41,0.0,0.817,0.8,0.84,,
cell_36,1050,1.0,0.8144,0.0,0.0,,
cell_37,1050,0.909,0.8363,0.1,0.1,,
cell_38,1050,0.818,0.8493,0.3,0.2,,
cell_39,1050,0.727,0.8616,0.4,0.3,,
cell_40,1050,0.455,0.8947,0.5,0.56,,
cell_41,699,0.364,0.9056,0.6,0.64,,
cell_42,310,0.273,0.8883,0.7,0.7,,
cell_43,92,0.0,0.8694,0.8,0.88,,
cell_44,56,,0.1021,0.0,0.06,3.0,1.0
cell_45,56,,0.0983,0.1,0.1,3.0,0.6
cell_46,8,,0.1233,0.3,0.22,1.8,-0.2
cell_47,8,,0.1367,0.4,0.26,1.8,0.4
cell_48,8,,0.1492,0.5,0.28,1.8,1.0
cell_49,8,,0.1916,0.0,0.0,1.0,-1.0
cell_50,56,,0.2002,0.1,0.22,1.8,-0.4
cell_51,56,,0.2126,0.3,0.34,1.8,0.2
cell_52,21,,0.2004,0.4,0.34,1.8,0.6
cell_53,21,,0.2053,0.5,0.32,1.8,0.8
cell_54,21,,0.2089,0.5,0.32,1.8,1.0
cell_55,8,,0.2751,0.7,0.48,1.0,0.2
cell_56,8,,0.2641,0.0,0.0,0.6,-1.0
cell_57,21,,0.3012,0.1,0.12,1.0,-0.8
cell_58,21,,0.3205,0.2,0.26,1.0,-0.6
cell_59,149,,0.2416,0.4,0.28,1.8,0.8
cell_60,396,,0.2634,0.5,0.28,1.8,1.0
cell_61,8,,0.249,0.6,0.42,1.0,-0.2
cell_62,8,,0.2819,0.7,0.52,1.0,0.4
cell_63,8,,0.2874,0.8,0.52,1.0,0.6
cell_64,8,,0.2951,1.0,0.5,1.0,0.8
cell_65,8,,0.2951,1.0,0.5,1.0,0.8
cell_66,8,,0.3006,1.0,0.5,1.0,1.0
cell_67,8,,0.3577,0.1,0.16,0.3,-0.8
cell_68,56,,0.4135,0.6,0.46,1.0,-0.2
cell_69,8,,0.3976,0.8,0.66,0.6,0.2
cell_70,21,,0.4149,1.0,0.58,1.0,0.8
cell_71,21,,0.4207,1.0,0.6,1.0,1.0
cell_72,8,,0.4226,1.0,0.68,0.6,1.0
cell_73,56,,0.5134,0.1,0.16,0.6,-0.8
cell_74,8,,0.5041,1.0,0.72,0.3,0.8
cell_75,149,,0.4946,1.0,0.6,1.0,1.0
cell_76,396,,0.5947,0.1,0.14,0.6,-0.8
cell_77,149,,0.5454,0.1,0.16,0.6,-0.8
cell_78,149,,0.609,0.6,0.5,0.6,-0.4
cell_79,56,,0.5777,0.6,0.52,0.6,-0.4
cell_80,8,,0.5348,0.9,0.8,0.0,0.8
cell_81,21,,0.592,1.0,0.78,0.6,1.0
cell_82,149,,0.6887,0.1,0.18,0.3,-0.8
cell_83,149,,0.6906,1.0,0.78,0.6,0.8
cell_84,149,,0.6906,1.0,0.78,0.6,0.8
cell_85,149,,0.6967,1.0,0.8,0.6,1.0
cell_86,1050,,0.7566,0.1,0.16,0.3,-0.8
cell_87,1050,,0.7866,0.4,0.38,0.3,-0.6
cell_88,56,,0.8001,1.0,0.82,0.3,0.8
cell_89,56,,0.8036,1.0,0.84,0.3,1.0
cell_90,1050,,0.8997,1.0,0.9,0.3,0.8
cell_91,1050,,0.9047,1.0,0.92,0.3,1.0
cell_92,41,,0.114,0.2,0.16,2.5,target2
cell_93,41,,0.1277,0.6,0.22,2.5,target6
cell_94,41,,0.1308,0.7,0.24,2.5,target7
cell_95,41,,0.1345,0.8,0.26,2.5,target8
cell_96,41,,0.1394,0.9,0.28,2.5,target9
cell_97,41,,0.1425,1.0,0.3,2.5,target10
cell_98,18,,0.2053,0.2,0.32,1.5,target2
cell_99,18,,0.2291,0.7,0.4,1.5,target7
cell_100,18,,0.2346,0.8,0.42,1.5,target8
cell_101,18,,0.242,0.9,0.44,1.5,target9
cell_102,18,,0.2463,1.0,0.44,1.5,target10
cell_103,1050,,0.2979,0.3,0.3,1.5,target3
cell_104,1050,,0.3023,0.4,0.32,1.5,target4
cell_105,1050,,0.313,0.6,0.36,1.5,target6
cell_106,1050,,0.331,0.9,0.4,1.5,target9
cell_107,18,,0.3606,0.2,0.48,0.9,target2
cell_108,18,,0.3795,0.5,0.52,0.9,target5
cell_109,18,,0.3895,0.7,0.54,0.9,target7
cell_110,18,,0.4065,0.9,0.56,0.9,target9
cell_111,207,,0.49,0.2,0.46,0.9,target2
cell_112,18,,0.5256,0.2,0.64,0.5,target2
cell_113,18,,0.5427,0.5,0.64,0.5,target5
cell_114,18,,0.5681,0.9,0.72,0.5,target9
cell_115,92,,0.6742,0.2,0.62,0.5,target2
cell_116,92,,0.7013,0.8,0.68,0.5,target8
cell_117,92,,0.7113,0.9,0.68,0.5,target9
cell_118,41,,0.7689,0.2,0.78,0.0,target2
