,Branin-Fav,Branin-Unfav,Park-Fav,Park-Unfav,COFs,FreeSolv,Polarizability,HOPV15,Matbench-Gap
MFGP,-0.0005494505494505447,0.01703296703296701,-0.014835164835164876,-0.015659340659340652,1.9428902930940238e-17,0.0,0.0021506056855685658,0.08301886792452835,0.02169117647058837
Seq,-0.04752747252747266,-0.015796703296703296,0.0005494505494505697,0.014285714285714301,0.0037257121297868344,0.0,0.0,-0.15754716981132105,-0.03897058823529405
FET,-0.03214285714285693,-0.07445054945054946,-0.0027472527472527488,0.0098901098901099,0.0037257121297868344,0.0,0.0,-0.22452830188679324,0.006617647058823203
E2E,-0.035164835164835206,0.023214285714285705,0.009890109890109971,0.002747252747252754,5.551115123125783e-18,0.0,0.0,0.1339622641509441,0.020588235294117498
Prog,-0.08901098901098883,-0.0004120879120879121,0.0010989010989011006,0.0021978021978021956,-0.004657140162233541,0.0,0.0,-0.047169811320755047,0.0823529411764709
PtJ,-0.008791208791208727,0.0,-0.0010989010989011006,0.0,-0.005588568194680227,0.0,0.0,0.002358490566037949,-0.012499999999999848
SGJ,-0.0434065934065936,-0.022664835164835178,0.004395604395604419,0.0005494505494505475,-0.0037257121297868514,0.0,0.0,0.05000000000000006,-0.046323529411764944
MMD,0.04436813186813208,-0.025,0.0016483516483516592,0.0032967032967033015,0.0037257121297868457,-0.003921568627450978,0.0,-0.050000000000000024,-0.0029411764705880904
SPS,-0.04024725274725271,-0.008791208791208798,0.0,0.0021978021978021956,-0.013039992454253902,0.0,0.0,0.058490566037735815,-0.019852941176470542
Adpt,-0.049038461538461954,-0.02074175824175825,-0.0032967032967033127,-0.0016483516483516536,-0.0018628560648934257,0.0,0.0,0.08891509433962273,-0.08823529411764688
