pool,condition,mean,se,n,budget
Branin-Fav,GP-base EI,0.9118131868131868,0.0080299398494277,40,50
Branin-Fav,GP-base greedy,0.9123626373626376,0.00672922363379,40,50
Branin-Fav,TL-base EI,0.4769230769230755,0.056260426359409,20,50
Branin-Fav,TL-base greedy,0.5203296703296691,0.0622553110642957,20,50
Branin-Unfav,GP-base EI,0.756043956043956,0.022740370813057,40,50
Branin-Unfav,GP-base greedy,0.739010989010989,0.0166644990679233,40,50
Branin-Unfav,TL-base EI,0.3451923076923077,0.0751452923240403,20,50
Branin-Unfav,TL-base greedy,0.3678571428571428,0.0773178593414852,20,50
Park-Fav,GP-base EI,0.6153846153846145,0.018026753726072,40,50
Park-Fav,GP-base greedy,0.6302197802197794,0.0192380133681046,40,50
Park-Fav,TL-base EI,0.7439560439560436,0.0302956616062284,20,50
Park-Fav,TL-base greedy,0.7395604395604392,0.0310417167026826,20,50
Park-Unfav,GP-base EI,0.7739010989010989,0.0236176486278186,40,50
Park-Unfav,GP-base greedy,0.7895604395604396,0.0207890197498098,40,50
Park-Unfav,TL-base EI,0.8428571428571429,0.0298305551018006,20,50
Park-Unfav,TL-base greedy,0.8423076923076923,0.0307141848358062,20,50
COFs,GP-base EI,0.9022000565930955,0.0075094128715759,40,30
COFs,GP-base greedy,0.9022000565930955,0.0079413352866167,40,30
COFs,TL-base EI,0.9152400490473492,0.0078192084756278,20,30
COFs,TL-base greedy,0.918965761177136,0.0075579003026601,20,30
FreeSolv,GP-base EI,0.9366515837104072,0.004524886877828,39,30
FreeSolv,GP-base greedy,0.9377450980392158,0.0045438579182884,40,30
FreeSolv,TL-base EI,0.931372549019608,0.0082333281844326,20,30
FreeSolv,TL-base greedy,0.931372549019608,0.0082333281844326,20,30
Polarizability,GP-base EI,0.9535469171917192,0.0112111106599057,40,30
Polarizability,GP-base greedy,0.9513963115061506,0.0131387931895327,40,30
Polarizability,TL-base EI,0.955267401740174,0.0075305148270772,20,30
Polarizability,TL-base greedy,0.955267401740174,0.0075305148270772,20,30
HOPV15,GP-base EI,0.3174528301886793,0.0632412502481276,40,30
HOPV15,GP-base greedy,0.2344339622641509,0.0592159997611088,40,30
HOPV15,TL-base EI,0.3417452830188678,0.071404230813809,20,30
HOPV15,TL-base greedy,0.2917452830188677,0.0705527363677867,20,30
Matbench-Gap,GP-base EI,0.1654411764705879,0.0341398985403436,40,20
Matbench-Gap,GP-base greedy,0.1437499999999996,0.0309213263200526,40,20
Matbench-Gap,TL-base EI,0.3036764705882349,0.0515785576986979,20,20
Matbench-Gap,TL-base greedy,0.3499999999999998,0.0542598918048851,20,20
