acq,pool,model,mean,se,n
greedy,Branin-Fav,Frozen,0.5203296703296691,0.06225531106429572,20
greedy,Branin-Fav,PtJ,0.49532967032967007,0.07189864563062914,20
greedy,Branin-Fav,E2E,0.6749999999999996,0.04383482598994673,20
greedy,Branin-Fav,SPS,0.4657967032967022,0.059779532365042944,20
greedy,Branin-Fav,MMD,0.3609890109890098,0.046204941559166476,20
greedy,Branin-Unfav,Frozen,0.3678571428571428,0.07731785934148525,20
greedy,Branin-Unfav,PtJ,0.0009615384615384616,0.0009615384615384617,20
greedy,Branin-Unfav,E2E,0.3696428571428571,0.07244529181934321,20
greedy,Branin-Unfav,SPS,0.08598901098901099,0.039478368615540334,20
greedy,Branin-Unfav,MMD,0.07458791208791207,0.03912470240397597,20
greedy,Park-Fav,Frozen,0.7395604395604392,0.03104171670268262,20
greedy,Park-Fav,PtJ,0.9428571428571428,0.004263485828567285,20
greedy,Park-Fav,E2E,0.8445054945054945,0.02205416249944844,20
greedy,Park-Fav,SPS,0.945054945054945,0.0035653059589178513,20
greedy,Park-Fav,MMD,0.7901098901098901,0.02051058265355005,20
greedy,Park-Unfav,Frozen,0.8423076923076923,0.030714184835806204,20
greedy,Park-Unfav,PtJ,0.8192307692307693,0.03220119722249444,20
greedy,Park-Unfav,E2E,0.8571428571428571,0.025734495970471605,20
greedy,Park-Unfav,SPS,0.8505494505494505,0.02959848208171345,20
greedy,Park-Unfav,MMD,0.7840659340659341,0.03166179386466124,20
greedy,COFs,Frozen,0.9189657611771361,0.007557900302660176,20
greedy,COFs,PtJ,0.910582908885116,0.009126093646475727,20
greedy,COFs,E2E,0.9133771929824558,0.008026681137092167,20
greedy,COFs,SPS,0.8984743444633088,0.01068207522438565,20
greedy,COFs,MMD,0.9310743255989434,0.009175990648463785,20
greedy,FreeSolv,Frozen,0.9313725490196079,0.008233328184432677,20
greedy,FreeSolv,PtJ,0.9372549019607845,0.006297686812133057,20
greedy,FreeSolv,E2E,0.9372549019607845,0.006297686812133057,20
greedy,FreeSolv,SPS,0.9372549019607845,0.006297686812133057,20
greedy,FreeSolv,MMD,0.9333333333333336,0.007843137254901949,20
greedy,Polarizability,Frozen,0.955267401740174,0.0075305148270772004,20
greedy,Polarizability,PtJ,0.955267401740174,0.0075305148270772004,20
greedy,Polarizability,E2E,0.955267401740174,0.0075305148270772004,20
greedy,Polarizability,SPS,0.955267401740174,0.0075305148270772004,20
greedy,Polarizability,MMD,0.955267401740174,0.0075305148270772004,20
greedy,HOPV15,Frozen,0.29174528301886776,0.07055273636778674,20
greedy,HOPV15,PtJ,0.18773584905660376,0.051334973058161495,20
greedy,HOPV15,E2E,0.21792452830188633,0.0699504103021892,20
greedy,HOPV15,SPS,0.1603773584905661,0.06017375053394212,20
greedy,HOPV15,MMD,0.2320754716981131,0.06661121400133806,20
greedy,Matbench-Gap,Frozen,0.34999999999999987,0.05425989180488513,20
greedy,Matbench-Gap,PtJ,0.32279411764705845,0.046826961209552424,20
greedy,Matbench-Gap,E2E,0.27058823529411746,0.04987463796288265,20
greedy,Matbench-Gap,SPS,0.34926470588235264,0.058092154117919445,20
greedy,Matbench-Gap,MMD,0.21985294117647017,0.042507712456499806,20
ei,Branin-Fav,Frozen,0.47692307692307556,0.05626042635940902,20
ei,Branin-Fav,PtJ,0.48653846153846125,0.06829268297873242,20
ei,Branin-Fav,E2E,0.6398351648351642,0.0363115188117163,20
ei,Branin-Fav,SPS,0.42554945054944965,0.055639016956012984,20
ei,Branin-Fav,MMD,0.4053571428571419,0.0493002966828213,20
ei,Branin-Unfav,Frozen,0.34519230769230774,0.07514529232404037,20
ei,Branin-Unfav,PtJ,0.0009615384615384616,0.0009615384615384617,20
ei,Branin-Unfav,E2E,0.39285714285714285,0.07079539847568779,20
ei,Branin-Unfav,SPS,0.07719780219780219,0.044121966700487306,20
ei,Branin-Unfav,MMD,0.049587912087912085,0.022174579236000372,20
ei,Park-Fav,Frozen,0.7439560439560436,0.03029566160622841,20
ei,Park-Fav,PtJ,0.9417582417582417,0.0043738617838183,20
ei,Park-Fav,E2E,0.8543956043956046,0.01793095480448433,20
ei,Park-Fav,SPS,0.945054945054945,0.0035653059589178513,20
