pool,model,n,mean,se
Branin-Fav,MFGP,40,0.9118131868131869,0.00802993984942778
Branin-Fav,Sparse MFGP,36,0.5892857142857135,0.04010924794412709
Branin-Fav,DKL,40,0.9134615384615387,0.006539029788415694
Branin-Fav,Sequential,40,0.5603021978021967,0.04060572984118634
Branin-Fav,Feature-extraction transfer,40,0.5713598901098891,0.04119675407694764
Branin-Fav,End-to-End Joint,40,0.6877747252747248,0.03306821931422766
Branin-Fav,Progressive,40,0.28736263736263673,0.047262022620687336
Branin-Fav,Pretrain-then-Joint,40,0.47307692307692273,0.049354105884023204
Branin-Fav,Stop-Gradient Joint,40,0.5859890109890101,0.03948079374172916
Branin-Fav,Domain Adaptation (MMD),40,0.37376373626373516,0.03240082563560166
Branin-Fav,Soft Parameter Sharing,40,0.4688873626373618,0.04103105602436915
Branin-Fav,Adapter,40,0.5752747252747247,0.041746491984888126
Branin-Unfav,MFGP,40,0.756043956043956,0.02274037081305701
Branin-Unfav,Sparse MFGP,39,0.22449985911524373,0.0347901356364746
Branin-Unfav,DKL,40,0.626717032967033,0.024053237317741737
Branin-Unfav,Sequential,40,0.24065934065934064,0.04859826814870785
Branin-Unfav,Feature-extraction transfer,40,0.2603021978021978,0.048837198959130024
Branin-Unfav,End-to-End Joint,40,0.35776098901098907,0.050844684459257376
Branin-Unfav,Progressive,40,0.010989010989010988,0.005127387428267186
Branin-Unfav,Pretrain-then-Joint,40,0.025206043956043957,0.02061094277026313
Branin-Unfav,Stop-Gradient Joint,40,0.3478021978021978,0.04857197919820898
Branin-Unfav,Domain Adaptation (MMD),40,0.08894230769230768,0.0251779665314898
Branin-Unfav,Soft Parameter Sharing,40,0.10542582417582418,0.0325689320700026
Branin-Unfav,Adapter,40,0.23990384615384616,0.04458935796697941
Park-Fav,MFGP,40,0.6153846153846145,0.01802675372607209
Park-Fav,Sparse MFGP,40,0.8343406593406592,0.019022897372497984
Park-Fav,DKL,40,0.8543956043956046,0.010356179601582234
Park-Fav,Sequential,40,0.7835164835164834,0.016791524488113784
Park-Fav,Feature-extraction transfer,40,0.782142857142857,0.017316635061255966
Park-Fav,End-to-End Joint,40,0.8359890109890109,0.015041598792469984
Park-Fav,Progressive,40,0.9456043956043956,0.0019653802218391465
Park-Fav,Pretrain-then-Joint,40,0.939010989010989,0.0034064116149604947
Park-Fav,Stop-Gradient Joint,40,0.7370879120879117,0.02166724305986242
Park-Fav,Domain Adaptation (MMD),40,0.8074175824175824,0.014611387920476586
Park-Fav,Soft Parameter Sharing,40,0.9412087912087912,0.0031612542748593285
Park-Fav,Adapter,40,0.7815934065934063,0.018948692021329712
Park-Unfav,MFGP,40,0.7739010989010989,0.023617648627818674
Park-Unfav,Sparse MFGP,40,0.8876373626373626,0.011761305931602005
Park-Unfav,DKL,40,0.8420329670329672,0.01731126996348153
Park-Unfav,Sequential,40,0.8508241758241759,0.019538802178668276
Park-Unfav,Feature-extraction transfer,40,0.85,0.019541426707793484
Park-Unfav,End-to-End Joint,40,0.8598901098901098,0.01771378614318005
Park-Unfav,Progressive,40,0.8642857142857142,0.01582976131034919
Park-Unfav,Pretrain-then-Joint,40,0.849175824175824,0.019033474520424386
Park-Unfav,Stop-Gradient Joint,40,0.8552197802197803,0.018820390882688623
Park-Unfav,Domain Adaptation (MMD),40,0.8013736263736263,0.01999889882371937
Park-Unfav,Soft Parameter Sharing,40,0.8678571428571431,0.017673262686086936
Park-Unfav,Adapter,40,0.8513736263736265,0.018295230928296623
COFs,MFGP,40,0.9022000565930955,0.007509412871575956
COFs,Sparse MFGP,40,0.9231571873231464,0.006334395457166702
COFs,DKL,40,0.9194314751933597,0.006976150594337548
COFs,Sequential,40,0.9189657611771362,0.00665507004651813
COFs,Feature-extraction transfer,40,0.9189657611771362,0.0066550700465181295
COFs,End-to-End Joint,40,0.9198971892095831,0.006084062430983823
