benchmark,model,ece,n_ece,nan_ece,n,attainment,se
Branin-Fav,Adapter,0.30733411172696534,40,0,40,0.5752747252747247,0.041746491984888126
Branin-Fav,DKL,0.2781324738650595,40,0,40,0.9134615384615387,0.006539029788415694
Branin-Fav,Domain Adaptation (MMD),0.291216326975834,40,0,40,0.37376373626373516,0.03240082563560166
Branin-Fav,End-to-End Joint,0.3271371994494308,40,0,40,0.6877747252747248,0.03306821931422766
Branin-Fav,Feature-extraction transfer,0.3078895204080245,40,0,40,0.5713598901098891,0.04119675407694764
Branin-Fav,MFGP,0.1690279135040527,40,0,40,0.9118131868131869,0.00802993984942778
Branin-Fav,Pretrain-then-Joint,0.21714385582945525,40,0,40,0.47307692307692273,0.049354105884023204
Branin-Fav,Progressive,0.1933740829197653,40,0,40,0.28736263736263673,0.047262022620687336
Branin-Fav,Sequential,0.3072537470840534,40,0,40,0.5603021978021967,0.04060572984118634
Branin-Fav,Soft Parameter Sharing,0.2754332497143438,40,0,40,0.4688873626373618,0.04103105602436915
Branin-Fav,Sparse MFGP,0.39672587458829384,36,0,36,0.5892857142857135,0.04010924794412709
Branin-Fav,Stop-Gradient Joint,0.3390945789485345,40,0,40,0.5859890109890101,0.03948079374172916
Branin-Unfav,Adapter,0.24174660949584958,40,0,40,0.23990384615384616,0.04458935796697941
Branin-Unfav,DKL,0.4217484992223726,40,0,40,0.626717032967033,0.024053237317741737
Branin-Unfav,Domain Adaptation (MMD),0.22997232567365372,40,0,40,0.08894230769230768,0.0251779665314898
Branin-Unfav,End-to-End Joint,0.2561252290035908,40,0,40,0.35776098901098907,0.050844684459257376
Branin-Unfav,Feature-extraction transfer,0.2402631032703741,40,0,40,0.2603021978021978,0.048837198959130024
Branin-Unfav,MFGP,0.10143085273039887,40,0,40,0.756043956043956,0.02274037081305701
Branin-Unfav,Pretrain-then-Joint,0.15266970102837002,40,0,40,0.025206043956043957,0.02061094277026313
Branin-Unfav,Progressive,0.1451802234075656,40,0,40,0.010989010989010988,0.005127387428267186
Branin-Unfav,Sequential,0.23988358983771524,40,0,40,0.24065934065934064,0.04859826814870785
