pool,r,MFGP_lowest_ece,DKL_highest_ece,MFGP_att_rank,gp_ece_min,gp_ece_max,tl_ece_min,tl_ece_max,att_min,att_max,DKL_att_rank,n_ece_min,nan_ece
Branin-Fav,-0.013,True,False,2,0.169,0.397,0.193,0.339,0.287,0.913,1,36,0
Branin-Unfav,0.176,True,True,1,0.101,0.422,0.145,0.256,0.011,0.756,2,39,0
Park-Fav,0.284,True,False,12,0.145,0.222,0.388,0.443,0.615,0.946,4,40,0
Park-Unfav,0.32,True,False,12,0.173,0.24,0.357,0.39,0.774,0.888,10,40,0
COFs,-0.525,False,False,11,0.137,0.283,0.14,0.203,0.9,0.934,6,40,0
FreeSolv,0.332,False,True,2,0.065,0.366,0.224,0.261,0.899,0.938,11,40,0
Polarizability,0.469,True,False,10,0.106,0.204,0.359,0.381,0.844,0.963,11,40,0
HOPV15,-0.221,False,True,6,0.065,0.405,0.063,0.085,0.08,0.405,10,40,0
Matbench-Gap,-0.657,False,True,12,0.151,0.356,0.09,0.118,0.245,0.462,11,40,0
ExptGap-PBE,-0.82,False,True,11,0.167,0.267,0.081,0.116,0.29,0.41,12,40,6
Elastic-CHGNet,0.212,True,True,9,0.09,0.394,0.107,0.183,0.334,0.622,2,40,6
Elastic-SevenNet,0.041,True,True,12,0.073,0.428,0.076,0.153,0.568,0.754,10,40,7
Elastic-MatterSim,-0.108,False,True,12,0.095,0.445,0.084,0.125,0.757,0.881,11,40,8
