pool,model,seed,prefix_match,n_compared,orig_final,ext_at_Borig,orig_src,ext_src
FreeSolv,Adapter,42,True,248,0.0,0.0,refig42_tl,ext
FreeSolv,Adapter,43,True,248,0.0,0.0,refig42_tl,ext
FreeSolv,Adapter,44,True,248,0.0,0.0,refig42_tl,ext
FreeSolv,Adapter,45,True,248,0.0,0.0,refig42_tl,ext
FreeSolv,Adapter,46,True,248,0.0,0.0,refig42_tl,ext
Matbench-Gap,Progressive,52,True,169,0.02,0.02,refig42_tl,ext100
Matbench-Gap,Progressive,53,True,169,0.02,0.02,refig42_tl,ext100
Matbench-Gap,Progressive,54,True,169,0.01,0.01,refig42_tl,ext100
Matbench-Gap,Progressive,55,True,169,0.1,0.1,refig42_tl,ext100
Matbench-Gap,Progressive,56,True,169,0.4000000000000001,0.4000000000000001,refig42_tl,ext100
Matbench-Gap,Stop-Gradient Joint,52,True,169,0.0,0.0,refig42_tl,ext100
Matbench-Gap,Stop-Gradient Joint,53,True,169,0.1,0.1,refig42_tl,ext100
Matbench-Gap,Stop-Gradient Joint,54,True,169,0.03,0.03,refig42_tl,ext100
Matbench-Gap,Stop-Gradient Joint,55,True,169,0.0,0.0,refig42_tl,ext100
Matbench-Gap,Stop-Gradient Joint,56,True,169,0.24,0.24,refig42_tl,ext100
FreeSolv,Stop-Gradient Joint,52,True,248,0.0,0.0,refig42_tl,ext
FreeSolv,Stop-Gradient Joint,53,True,248,0.0,0.0,refig42_tl,ext
FreeSolv,Stop-Gradient Joint,54,True,248,0.0,0.0,refig42_tl,ext
FreeSolv,Stop-Gradient Joint,55,True,248,0.0,0.0,refig42_tl,ext
FreeSolv,Stop-Gradient Joint,56,True,248,0.0,0.0,refig42_tl,ext
HOPV15,End-to-End Joint,42,True,143,3.9,3.9,refig42_tl,ext
HOPV15,End-to-End Joint,43,True,143,3.9,3.9,refig42_tl,ext
HOPV15,End-to-End Joint,44,True,143,0.0,0.0,refig42_tl,ext
HOPV15,End-to-End Joint,45,True,143,0.0,0.0,refig42_tl,ext
HOPV15,End-to-End Joint,46,True,143,4.299999999999999,4.299999999999999,refig42_tl,ext
Matbench-Gap,Adapter,42,True,169,0.0,0.0,refig42_tl,ext100
Matbench-Gap,Adapter,43,True,169,0.1,0.1,refig42_tl,ext100
Matbench-Gap,Adapter,44,True,169,0.1,0.1,refig42_tl,ext100
Matbench-Gap,Adapter,45,True,169,0.3999999999999999,0.3999999999999999,refig42_tl,ext100
Matbench-Gap,Adapter,46,True,169,0.0,0.0,refig42_tl,ext100
Matbench-Gap,Soft Parameter Sharing,47,True,169,0.01,0.01,refig42_tl,ext100
Matbench-Gap,Soft Parameter Sharing,48,True,169,0.2000000000000001,0.2000000000000001,refig42_tl,ext100
Matbench-Gap,Soft Parameter Sharing,49,True,169,0.2000000000000001,0.2000000000000001,refig42_tl,ext100
Matbench-Gap,Soft Parameter Sharing,50,True,169,0.0,0.0,refig42_tl,ext100
Matbench-Gap,Soft Parameter Sharing,51,True,169,0.01,0.01,refig42_tl,ext100
HOPV15,End-to-End Joint,47,True,143,3.9,3.9,refig42_tl,ext
HOPV15,End-to-End Joint,48,True,143,0.0,0.0,refig42_tl,ext
HOPV15,End-to-End Joint,49,True,143,3.9,3.9,refig42_tl,ext
HOPV15,End-to-End Joint,50,True,143,3.9,3.9,refig42_tl,ext
HOPV15,End-to-End Joint,51,True,143,0.0,0.0,refig42_tl,ext
HOPV15,Soft Parameter Sharing,47,True,143,0.0,0.0,refig42_tl,ext
HOPV15,Soft Parameter Sharing,48,True,143,0.0,0.0,refig42_tl,ext
HOPV15,Soft Parameter Sharing,49,True,143,3.499999999999999,3.499999999999999,refig42_tl,ext
HOPV15,Soft Parameter Sharing,50,True,143,4.699999999999999,4.699999999999999,refig42_tl,ext
HOPV15,Soft Parameter Sharing,51,True,143,0.0,0.0,refig42_tl,ext
Matbench-Gap,Sequential,47,True,169,0.1,0.1,refig42_tl,ext100
Matbench-Gap,Sequential,48,True,169,0.2000000000000001,0.2000000000000001,refig42_tl,ext100
Matbench-Gap,Sequential,49,True,169,0.01,0.01,refig42_tl,ext100
Matbench-Gap,Sequential,50,True,169,0.1,0.1,refig42_tl,ext100
Matbench-Gap,Sequential,51,True,169,0.1,0.1,refig42_tl,ext100
Matbench-Gap,Pretrain-then-Joint,52,True,169,0.1,0.1,refig42_tl,ext100
Matbench-Gap,Pretrain-then-Joint,53,True,169,0.01,0.01,refig42_tl,ext100
Matbench-Gap,Pretrain-then-Joint,54,True,169,0.2999999999999998,0.2999999999999998,refig42_tl,ext100
