pool,model,n_end,mean_at_B,mean_at_20,mean_at_15,mean_at_10
Branin-Fav,MFGP,40,0.020384107081452076,0.028094416418442604,0.10047336145957772,1.0165029624614528
Branin-Fav,Sparse MFGP,36,0.20237697747854425,1.3614961325481292,2.055942209471685,5.1520242039588116
Branin-Fav,DKL,40,0.008992648270898213,0.0478658628838447,0.06560721890925719,1.005106875515648
Branin-Fav,Sequential,40,0.20203655916130442,1.5327745081631918,1.8383343319502028,3.201668121362681
Branin-Fav,Feature-extraction transfer,40,0.17807613693978924,1.5914286677006804,1.9126369722601417,2.972238287341723
Branin-Fav,End-to-End Joint,40,0.09972871549384393,1.0224044809283888,1.3898053186795156,2.7362695735550764
Branin-Fav,Progressive,40,1.4302991964264886,3.818200639264068,4.914356042386656,8.755267805150579
Branin-Fav,Pretrain-then-Joint,40,0.7942570692943006,2.246301550737898,3.0413807213349573,8.174292008708864
Branin-Fav,Stop-Gradient Joint,40,0.12823982097104594,1.5815576070175719,2.5075973552030524,3.740779024642029
Branin-Fav,Domain Adaptation (MMD),40,0.45459680293951144,2.253000605091342,2.7137310060704856,5.445103976934036
Branin-Fav,Soft Parameter Sharing,40,0.3704487042857994,2.07902094038595,2.524015226600347,5.143216216435682
Branin-Fav,Adapter,40,0.23999264746530646,1.4554300134843636,1.8727991382125062,3.4661349440494953
Branin-Unfav,MFGP,40,0.05132964811285734,0.8653737030496537,1.4911706408970549,6.0658535053474205
Branin-Unfav,Sparse MFGP,39,1.3816185197131183,5.7920702504904815,6.272267338158914,11.53293582064583
Branin-Unfav,DKL,40,0.05948188046589882,1.5075266708471213,2.8242614528114904,6.5694477079087985
Branin-Unfav,Sequential,40,1.86168138766172,3.866491881546928,5.0604918406811255,7.609296176254469
Branin-Unfav,Feature-extraction transfer,40,1.730070487738542,3.9141374685248054,5.206187285974187,7.573154273192364
Branin-Unfav,End-to-End Joint,40,1.225391953909496,3.4933055953131116,4.488709453666081,7.483674944766754
Branin-Unfav,Progressive,40,4.069270780275271,5.639141551091076,6.574831443811016,8.5751134609614
Branin-Unfav,Pretrain-then-Joint,40,3.757283422703962,5.629962812051691,6.289155395626266,8.348458894332662
Branin-Unfav,Stop-Gradient Joint,40,1.160056989517202,3.2726403030160434,4.091740910765607,7.092009516959925
Branin-Unfav,Domain Adaptation (MMD),40,2.809507933547983,5.321297125166749,6.189836644264275,7.982668576765792
Branin-Unfav,Soft Parameter Sharing,40,2.9940112644691217,5.398620594713067,6.093285358989683,8.755662578995556
Branin-Unfav,Adapter,40,1.8699852510844166,3.7503276647608614,4.540062466183635,7.141462923786331
Park-Fav,MFGP,40,0.0,8.495717985396844e-08,8.574198401145368e-08,0.0226524764458276
Park-Fav,Sparse MFGP,40,0.0,1.49577795245177e-08,2.491689132501258e-08,4.089938554770538e-08
Park-Fav,DKL,40,0.0,1.8464424686647952e-09,9.205143843619383e-09,6.113942449892627e-08
Park-Fav,Sequential,40,0.0,1.7100355033729926e-08,3.226676185358686e-08,6.932528055947485e-08
Park-Fav,Feature-extraction transfer,40,0.0,1.820596452779477e-08,3.3441553146614934e-08,6.929538727065706e-08
Park-Fav,End-to-End Joint,40,0.0,1.306902802606942e-08,2.1678295126193836e-08,5.580464961598204e-08
Park-Fav,Progressive,40,0.0,5.051814830150159e-10,1.2268693158936101e-09,2.6629916535117943e-09
Park-Fav,Pretrain-then-Joint,40,0.0,7.938566161664536e-10,1.2990380991814695e-09,6.6276525187394855e-09
Park-Fav,Stop-Gradient Joint,40,0.0,3.32985740855581e-08,4.650944169063046e-08,7.254228735627709e-08
Park-Fav,Domain Adaptation (MMD),40,0.0,9.41495150914684e-09,2.158743954412585e-08,5.618511063761311e-08
Park-Fav,Soft Parameter Sharing,40,0.0,4.330126997271565e-10,1.2567626047114064e-09,5.6968827080798865e-09
Park-Fav,Adapter,40,0.0,2.0659449022223723e-08,2.746573029733827e-08,6.608903468899663e-08
Park-Unfav,MFGP,40,0.0,2.6357356638350453e-08,3.550428700837879e-08,0.02265313745526652
Park-Unfav,Sparse MFGP,40,0.0,4.460679874324918e-09,4.555177756870392e-09,0.15764645666007143
Park-Unfav,DKL,40,0.0,1.044119922832188e-08,1.7791872213307493e-08,0.4077423084744473
Park-Unfav,Sequential,40,0.0,1.1377962240381322e-08,1.5239310792497374e-08,0.022653626806728215
Park-Unfav,Feature-extraction transfer,40,0.0,1.1377962240381324e-08,1.526920408131517e-08,2.9070756181205217e-08
Park-Unfav,End-to-End Joint,40,0.0,1.2373024293928273e-08,1.6503705123209775e-08,2.724298475180613e-08
Park-Unfav,Progressive,40,0.0,9.26721055571412e-09,1.4377655788549464e-08,0.02265362555185591
Park-Unfav,Pretrain-then-Joint,40,0.0,1.0342076381039897e-08,1.650565322398982e-08,0.02265362955779209
Park-Unfav,Stop-Gradient Joint,40,0.0,1.15651171371873e-08,1.7308744595110864e-08,2.9013153967473954e-08
Park-Unfav,Domain Adaptation (MMD),40,0.0,0.02265307677130721,0.02265308350169982,0.1132649885922103
Park-Unfav,Soft Parameter Sharing,40,0.0,1.0963301167223448e-08,1.4936720388516775e-08,2.6310576960734653e-08
Park-Unfav,Adapter,40,0.0,1.0387150356211282e-08,1.8479713543822736e-08,2.99052686175357e-08
COFs,MFGP,40,0.0,0.02726298255607524,0.17169726067681795,1.6231685667518048
COFs,Sparse MFGP,40,0.0,0.0,0.0,0.0
COFs,DKL,40,0.0,0.0034617593402899148,0.00908766085202508,0.08449395589164375
COFs,Sequential,40,0.0,0.0,0.0,0.10050513542424866
COFs,Feature-extraction transfer,40,0.0,0.0,0.0,0.11868045712829882
COFs,End-to-End Joint,40,0.0,0.0,0.04370525425492423,0.4499566504558638
COFs,Progressive,40,0.0,0.0,0.26137802253728204,1.2111012086752404
COFs,Pretrain-then-Joint,40,0.0,0.0,0.2432027008332319,0.871972015908326
COFs,Stop-Gradient Joint,40,0.0,0.0,0.0,0.045548078145854105
COFs,Domain Adaptation (MMD),40,0.0,0.0,0.0,0.24168919859948815
COFs,Soft Parameter Sharing,40,0.0,0.20901619959657683,0.35441877322897813,1.8417021953979997
COFs,Adapter,40,0.0,0.0,0.0,0.11218803061396307
FreeSolv,MFGP,40,0.02025,0.02025,0.02025,0.02025
FreeSolv,Sparse MFGP,40,0.03375,0.03375,0.042000000000000016,0.32600000000000007
FreeSolv,DKL,40,0.0,0.006750000000000001,0.054000000000000006,0.15674999999999994
FreeSolv,Sequential,40,0.0,0.02025,0.06150000000000001,0.10874999999999999
FreeSolv,Feature-extraction transfer,40,0.0,0.006750000000000001,0.04725,0.10825
FreeSolv,End-to-End Joint,40,0.0,0.006750000000000001,0.081,0.12299999999999997
FreeSolv,Progressive,40,0.0,0.054000000000000006,0.10125000000000002,0.14174999999999996
FreeSolv,Pretrain-then-Joint,40,0.006750000000000001,0.054000000000000006,0.0945,0.14949999999999997
FreeSolv,Stop-Gradient Joint,40,0.0,0.013500000000000002,0.08175000000000002,0.12299999999999997
FreeSolv,Domain Adaptation (MMD),40,0.0,0.0,0.006750000000000001,0.08725000000000001
FreeSolv,Soft Parameter Sharing,40,0.0,0.02025,0.11474999999999999,0.1754999999999999
FreeSolv,Adapter,40,0.0,0.013500000000000002,0.08800000000000001,0.10450000000000004
Polarizability,MFGP,40,0.0022298593350383576,0.006689578005115072,0.01728740409207159,0.022026854219948832
Polarizability,Sparse MFGP,40,0.004459718670076715,0.03173753196930946,0.06509750639386189,0.1255514705882353
Polarizability,DKL,40,0.0,0.0,0.0,0.00605019181585677
Polarizability,Sequential,40,0.0,0.0,0.0,0.0
Polarizability,Feature-extraction transfer,40,0.0,0.0,0.0,0.0
Polarizability,End-to-End Joint,40,0.0,0.0,0.0,0.0
Polarizability,Progressive,40,0.0,0.0,0.0,0.0022298593350383576
Polarizability,Pretrain-then-Joint,40,0.0,0.0,0.0,0.0
Polarizability,Stop-Gradient Joint,40,0.0,0.0,0.0,0.0
Polarizability,Domain Adaptation (MMD),40,0.0,0.0,0.0,0.0
Polarizability,Soft Parameter Sharing,40,0.0,0.0,0.0,0.0
Polarizability,Adapter,40,0.0,0.0,0.0,0.0
HOPV15,MFGP,40,2.3125,2.4975,2.7934999999999994,3.565
HOPV15,Sparse MFGP,40,3.3200000000000003,3.712500000000002,3.7600000000000016,4.1725
HOPV15,DKL,40,2.61325,2.8114999999999997,3.2737499999999997,4.0009999999999994
HOPV15,Sequential,40,1.15,1.9182499999999998,3.149499999999999,3.9482499999999994
HOPV15,Feature-extraction transfer,40,1.0699999999999998,2.0199999999999996,2.9909999999999988,3.9032500000000008
HOPV15,End-to-End Joint,40,1.1999999999999997,2.6249999999999996,3.71075,4.439749999999999
HOPV15,Progressive,40,2.9629999999999996,3.3229999999999995,3.6452499999999994,4.5495
HOPV15,Pretrain-then-Joint,40,1.658,2.4080000000000004,3.3715,4.1324999999999985
HOPV15,Stop-Gradient Joint,40,1.2704999999999997,2.28775,3.181499999999999,3.922249999999999
HOPV15,Domain Adaptation (MMD),40,1.4699999999999998,2.203499999999999,3.136249999999999,4.260999999999999
HOPV15,Soft Parameter Sharing,40,2.44075,2.7832500000000002,3.3557500000000005,4.595499999999999
HOPV15,Adapter,40,1.8427499999999999,3.084,3.6637499999999994,4.463749999999999
Matbench-Gap,MFGP,40,0.12424999999999993,0.20524999999999993,0.26924999999999993,0.33849999999999997
Matbench-Gap,Sparse MFGP,40,0.12224999999999997,0.24124999999999996,0.32124999999999987,0.5095000000000001
Matbench-Gap,DKL,40,0.20699999999999993,0.3309999999999999,0.43174999999999997,0.6595000000000002
Matbench-Gap,Sequential,40,0.09400000000000001,0.1545,0.2597499999999999,0.37875000000000003
Matbench-Gap,Feature-extraction transfer,40,0.11799999999999997,0.1657499999999999,0.24024999999999994,0.348
Matbench-Gap,End-to-End Joint,40,0.11499999999999995,0.1822499999999999,0.26274999999999993,0.3454999999999998
Matbench-Gap,Progressive,40,0.10149999999999999,0.16574999999999998,0.2507499999999999,0.42349999999999993
Matbench-Gap,Pretrain-then-Joint,40,0.058499999999999996,0.11349999999999996,0.20999999999999996,0.38949999999999985
Matbench-Gap,Stop-Gradient Joint,40,0.12049999999999997,0.17575,0.2869999999999999,0.3922499999999999
Matbench-Gap,Domain Adaptation (MMD),40,0.09475000000000001,0.16799999999999995,0.2394999999999999,0.44399999999999995
Matbench-Gap,Soft Parameter Sharing,40,0.05100000000000001,0.14575000000000002,0.26749999999999996,0.4044999999999999
Matbench-Gap,Adapter,40,0.07125,0.12574999999999992,0.22674999999999992,0.4154999999999999
ExptGap-PBE,MFGP,40,0.10837499999999996,0.18834374999999998,0.2706874999999999,0.368234375
ExptGap-PBE,Sparse MFGP,40,0.10088219696969689,0.14842207792207784,0.3177346296296296,0.5365573809523808
ExptGap-PBE,DKL,40,0.22337083333333338,0.38552467948717944,0.43399583333333325,0.6680374999999997
ExptGap-PBE,Sequential,40,0.0747458333333334,0.12743910256410257,0.21671561771561768,0.3953141025641026
ExptGap-PBE,Feature-extraction transfer,40,0.07120416666666672,0.15987500000000004,0.27977243589743594,0.44035576923076925
ExptGap-PBE,End-to-End Joint,40,0.0930416666666667,0.18671875,0.3032023809523809,0.371
ExptGap-PBE,Progressive,40,0.08173749999999999,0.1618333333333333,0.29817708333333337,0.4152724358974359
ExptGap-PBE,Pretrain-then-Joint,40,0.08791666666666667,0.18162499999999993,0.22688541666666656,0.36087499999999995
ExptGap-PBE,Stop-Gradient Joint,40,0.08466666666666668,0.11170833333333333,0.2571845238095237,0.4345773809523809
ExptGap-PBE,Domain Adaptation (MMD),40,0.09257000000000003,0.16456999999999997,0.24894499999999997,0.36598666666666657
ExptGap-PBE,Soft Parameter Sharing,40,0.06910750000000004,0.13914916666666666,0.26423250000000004,0.4106414285714287
ExptGap-PBE,Adapter,40,0.12332916666666664,0.19494999999999993,0.28591666666666665,0.37362499999999993
Elastic-CHGNet,MFGP,40,279.17499999999995,304.47499999999997,349.65,369.99999999999994
Elastic-CHGNet,Sparse MFGP,40,308.67499999999995,322.24999999999994,336.325,358.49999999999994
Elastic-CHGNet,DKL,40,284.97499999999997,310.54999999999995,344.12499999999994,356.44999999999993
Elastic-CHGNet,Sequential,40,273.275,312.6,347.22499999999997,360.1
Elastic-CHGNet,Feature-extraction transfer,40,265.54999999999995,308.62499999999994,338.6,355.09999999999997
Elastic-CHGNet,End-to-End Joint,40,294.2,325.475,343.82499999999993,356.375
Elastic-CHGNet,Progressive,40,263.12499999999994,295.42499999999995,381.275,388.57499999999993
Elastic-CHGNet,Pretrain-then-Joint,40,311.15,349.49999999999994,378.15,386.6
Elastic-CHGNet,Stop-Gradient Joint,40,278.45,290.42499999999995,320.575,349.55
Elastic-CHGNet,Domain Adaptation (MMD),40,296.22499999999997,322.29999999999995,338.17499999999995,352.35
