acq,pool,B,n_models,mean_delta,win_share,n_seeds_min,n_seeds_max
EI,Branin-Fav,50,9,-0.03344017094017095,0.1111111111111111,20,20
EI,Branin-Unfav,50,9,-0.016071428571428577,0.1111111111111111,20,20
EI,Park-Fav,50,9,0.001159951159951173,0.5555555555555556,20,20
EI,Park-Unfav,50,9,0.0037240537240537264,0.7777777777777778,20,20
EI,COFs,30,9,-0.0019663480684986036,0.3333333333333333,20,20
EI,FreeSolv,30,9,-0.0004357298474945531,0.0,20,20
EI,Polarizability,30,9,0.0,0.0,20,20
EI,HOPV15,30,9,-0.016168763102725414,0.5555555555555556,20,20
EI,Matbench-Gap,20,9,-0.011029411764705862,0.3333333333333333,20,20
PI,Branin-Fav,50,9,0.0517551892551894,1.0,20,20
PI,Branin-Unfav,50,9,-0.0030677655677655677,0.4444444444444444,20,20
PI,Park-Fav,50,9,0.005616605616605634,0.5555555555555556,20,20
PI,Park-Unfav,50,9,0.003052503052503055,0.5555555555555556,20,20
PI,COFs,30,9,-0.001862856064893418,0.3333333333333333,20,20
PI,FreeSolv,30,9,-0.0008714596949891062,0.1111111111111111,20,20
PI,Polarizability,30,9,0.0,0.0,20,20
PI,HOPV15,30,9,-0.016745283018867976,0.5555555555555556,20,20
PI,Matbench-Gap,20,9,-0.011846405228758163,0.4444444444444444,20,20
UCB,Branin-Fav,50,9,-0.09024725274725288,0.0,20,20
UCB,Branin-Unfav,50,9,-0.06263736263736264,0.0,20,20
UCB,Park-Fav,50,9,0.0006715506715506852,0.5555555555555556,20,20
UCB,Park-Unfav,50,9,0.004761904761904766,0.7777777777777778,20,20
UCB,COFs,30,9,0.000827936028841523,0.3333333333333333,20,20
UCB,FreeSolv,30,9,0.0019607843137254884,0.4444444444444444,20,20
UCB,Polarizability,30,9,0.0,0.0,20,20
UCB,HOPV15,30,9,-0.007494758909853316,0.5555555555555556,20,20
UCB,Matbench-Gap,20,9,-0.04403594771241835,0.2222222222222222,20,20
MES,Branin-Fav,50,9,-0.0992673992673993,0.1111111111111111,20,20
MES,Branin-Unfav,50,9,-0.07562576312576312,0.0,20,20
MES,Park-Fav,50,9,0.0011599511599511792,0.6666666666666666,20,20
MES,Park-Unfav,50,9,0.0063492063492063535,0.7777777777777778,20,20
MES,COFs,30,9,-0.002173332075708981,0.3333333333333333,20,20
MES,FreeSolv,30,9,0.0019607843137254884,0.4444444444444444,20,20
MES,Polarizability,30,9,0.0,0.0,20,20
MES,HOPV15,30,9,0.005110062893081724,0.4444444444444444,20,20
MES,Matbench-Gap,20,9,-0.026960784313725523,0.1111111111111111,20,20
TS,Branin-Fav,50,9,-0.06552197802197816,0.2222222222222222,20,20
TS,Branin-Unfav,50,9,0.05093101343101343,0.8888888888888888,20,20
TS,Park-Fav,50,9,0.002136752136752143,0.4444444444444444,20,20
TS,Park-Unfav,50,9,0.00732600732600732,0.7777777777777778,20,20
TS,COFs,30,9,0.0022768240793141856,0.4444444444444444,20,20
TS,FreeSolv,30,9,-0.00838779956427015,0.0,20,20
TS,Polarizability,30,9,0.0,0.0,20,20
TS,HOPV15,30,9,-0.11425576519916168,0.1111111111111111,20,20
TS,Matbench-Gap,20,9,-0.13415032679738562,0.0,20,20
