pool,n,r2,spearman,top10_overlap,top1pct_overlap,screening_regret,screening_regret_pct_range,lf_rank_of_hf_best,top1_hit,regime,hf_range
Branin-Fav,2500,0.9687779647852134,0.9874251860840298,0.6,0.6,3.3551091224877183,1.0902960264981336,139,0,B,307.7246033138195
Branin-Unfav,2500,0.5802235172008346,0.8131994053759051,0.1,0.36,0.9968793119946202,0.32395177417061977,1380,0,B,307.7246033138195
Park-Fav,256,0.9649440131078181,0.9872210460059508,1.0,1.0,0.0,0.0,1,1,A,25.930335423741848
Park-Unfav,256,0.7171269680971293,0.8791421566398175,0.9,0.5,0.0,0.0,1,1,A,25.930335423741848
COFs,608,0.9581680383499311,0.9984476970987941,0.8,0.8333333333333334,4.516970590908455,24.40069466971962,2,0,B,18.511647524993837
FreeSolv,640,0.8675703203322626,0.9404494904376339,0.6,0.6666666666666666,0.27,0.9342560553633218,4,0,A,28.9
Polarizability,1134,0.987818334473217,0.9914799349918095,1.0,1.0,0.08919437340153435,8.919437340153436,2,0,A,1.0
HOPV15,240,0.015254803778475658,0.11748469988785139,0.0,0.0,3.8999999999999995,38.265306122448976,13,0,B,10.192
Matbench-Gap,3347,0.4562589366904251,0.5748526696706288,0.0,0.030303030303030304,0.91,8.834951456310678,973,0,B,10.3
ExptGap-PBE,3508,0.409971756021133,0.48718174599422287,0.0,0.0,1.15,11.165048543689318,1033,0,B,10.3
Elastic-CHGNet,10819,0.29071858087914376,0.6783316966118594,0.4,0.1388888888888889,383.9999999999999,73.56321839080458,8,0,B,521.9999999999999
Elastic-SevenNet,10460,0.40540745537269063,0.7295022723291984,0.3,0.38461538461538464,369.0000000000001,96.59685863874347,4,0,B,382.0000000000001
Elastic-MatterSim,10946,0.7954069784964123,0.8556111354932239,0.8,0.7064220183486238,3.0000000000001137,0.5747126436781829,2,0,B,521.9999999999999
